contest,handle,finding,risk,score,pie,split,slice,award,awardCoin,awardUSD
1,0xRajeev,L-02,1,,0.81,3,0.27,153.9777588,USDC,153.98
1,0xRajeev,M-01,2,,2.43,3,0.81,461.9332763,USDC,461.93
1,0xRajeev,M-02,2,,2.43,3,0.81,461.9332763,USDC,461.93
1,0xRajeev,M-05,2,,3,1,3,1710.863986,USDC,1710.86
1,0xRajeev,,,,,,,,,
1,0xRajeev,,,,,,,,,
1,0xRajeev,,,,,,,,,
1,0xRajeev,,,,,,,,,
1,0xRajeev,H-01,3,,10,1,10,5702.879954,USDC,420.42
1,pauliax,G-06,g,,1,1,1,425.5319149,USDC,425.53
1,pauliax,L-04,1,,0.9,2,0.45,256.6295979,USDC,256.63
1,pauliax,L-06,1,,0.9,2,0.45,256.6295979,USDC,256.63
1,pauliax,L-07,1,,1,1,1,570.2879954,USDC,570.29
1,pauliax,L-08,1,,1,1,1,570.2879954,USDC,570.29
1,pauliax,L-09,1,,1,1,1,570.2879954,USDC,570.29
1,pauliax,L-10,1,,1,1,1,570.2879954,USDC,570.29
1,0xRajeev,H-01,3,,10,1,10,5702.879954,USDC,360.36
1,pauliax,M-04,2,,2.7,2,1.35,769.8887938,USDC,769.89
1,pauliax,N-01,0,,0,0,0,0,USDC,0
1,onewayfunction,G-01,g,,0.9,2,0.45,191.4893617,USDC,191.49
1,onewayfunction,G-02,g,,0.9,2,0.45,191.4893617,USDC,191.49
1,onewayfunction,G-03,g,,0.9,2,0.45,191.4893617,USDC,191.49
1,onewayfunction,G-04,g,,1,1,1,425.5319149,USDC,425.53
1,onewayfunction,L-12,1,,1,1,1,570.2879954,USDC,570.29
1,onewayfunction,N-01,0,,0,0,0,0,USDC,0
1,nedodn,G-03,g,,0.9,2,0.45,191.4893617,USDC,191.49
1,nedodn,M-03,2,,3,1,3,1710.863986,USDC,1710.86
1,ncitron,L-04,1,,0.9,2,0.45,256.6295979,USDC,256.63
1,ncitron,L-05,1,,1,1,1,570.2879954,USDC,570.29
1,ncitron,M-02,2,,2.43,3,0.81,461.9332763,USDC,461.93
1,janbro,G-02,g,,0.9,2,0.45,191.4893617,USDC,191.49
1,janbro,M-01,2,,2.43,3,0.81,461.9332763,USDC,461.93
1,janbro,M-02,2,,2.43,3,0.81,461.9332763,USDC,461.93
1,gpersoon,L-02,1,,0.81,3,0.27,153.9777588,USDC,153.98
1,gpersoon,L-03,1,,0.9,2,0.45,256.6295979,USDC,256.63
1,gpersoon,L-06,1,,0.9,2,0.45,256.6295979,USDC,256.63
1,gpersoon,L-11,1,,1,1,1,570.2879954,USDC,570.29
1,gpersoon,M-04,2,,2.7,2,1.35,769.8887938,USDC,769.89
1,gpersoon,N-01,0,,0,0,0,0,USDC,0
1,gpersoon,N-03,0,,0,0,0,0,USDC,0
